Название;Ссылка;Цена
Short Dress;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/90008-E/;$24.99
Patterned Slacks;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/96436-A/;$29.99
Short Chiffon Dress;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/93926-B/;$49.99
Off-the-shoulder Dress;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/90882-B/;$59.99
V-neck Top;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/93756-C/;$24.99
Short Chiffon Dress;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/93926-C/;$49.99
V-neck Top;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/93756-B/;$24.99
V-neck Top;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/93756-D/;$24.99
Short Lace Dress;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/96643-A/;$59.99
Fitted Dress;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/94766-A/;$34.99
V-neck Jumpsuit;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/91696-C/;$69.99
Chiffon Dress;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/93745-A/;$54.99
Skinny High Waist Jeans;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/65763-E/;$39.99
Super Skinny High Jeans;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/70745-D/;$19.99
Oversized Denim Jacket;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/94706-A/;$19.99
Short Sweatshirt;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/96230-B/;$24.99
Long-sleeved Jersey Top;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/73840-F/;$12.99
Skinny High Waist Jeans;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/65763-A/;$39.99
Short Sweatshirt;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/96230-A/;$24.99
Long-sleeved Jersey Top;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/73840-P/;$12.99
Long-sleeved Jersey Top;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/73840-Q/;$12.99
Jersey Dress;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/96113-C/;$19.99
Short Sweatshirt;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/96230-C/;$24.99
Crinkled Flounced Blouse;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/00959-A/;$24.99
Bib Overall Dress;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/94323-B/;$29.99
Loose-knit Sweater;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/71342-J/;$17.99
Skinny Regular Jeans;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/94453-B/;$29.99
Henley-style Top;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/34975-K/;$12.99
Joggers;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/59851-A/;$17.99
